ENGINE,CHECKSUM,DATA_FREE,VERSION,CHECK_TIME,ROW_FORMAT,TABLE_NAME,TABLE_ROWS,TABLE_TYPE,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,TABLE_COMMENT,AUTO_INCREMENT,AVG_ROW_LENGTH,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION
Fixed,2023-02-19 16:01:23,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16434816,<blank>,def,<blank>,CHARACTER_SETS,SYSTEM VIEW,384,max_rows=43690,0,utf8_general_ci,information_schema
Fixed,2023-02-19 16:01:23,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16704765,<blank>,def,<blank>,COLLATIONS,SYSTEM VIEW,231,max_rows=72628,0,utf8_general_ci,information_schema
Fixed,2023-02-19 16:01:23,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16357770,<blank>,def,<blank>,COLLATION_CHARACTER_SET_APPLICABILITY,SYSTEM VIEW,195,max_rows=86037,0,utf8_general_ci,information_schema
Dynamic,2023-02-19 16:01:23,1024,<blank>,0,<blank>,2023-02-19 16:01:23,10,<blank>,MyISAM,281474976710655,<blank>,def,<blank>,COLUMNS,SYSTEM VIEW,0,max_rows=2789,0,utf8_general_ci,information_schema
Fixed,2023-02-19 16:01:23,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16757145,<blank>,def,<blank>,COLUMN_PRIVILEGES,SYSTEM VIEW,2565,max_rows=6540,0,utf8_general_ci,information_schema
Fixed,2023-02-19 16:01:23,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16574250,<blank>,def,<blank>,ENGINES,SYSTEM VIEW,490,max_rows=34239,0,utf8_general_ci,information_schema
Dynamic,2023-02-19 16:01:23,1024,<blank>,0,<blank>,2023-02-19 16:01:23,10,<blank>,MyISAM,281474976710655,<blank>,def,<blank>,EVENTS,SYSTEM VIEW,0,max_rows=618,0,utf8_general_ci,information_schema
Fixed,2023-02-19 16:01:23,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16768412,<blank>,def,<blank>,FILES,SYSTEM VIEW,14468,max_rows=1159,0,utf8_general_ci,information_schema
Fixed,2023-02-19 16:01:23,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16755036,<blank>,def,<blank>,GLOBAL_STATUS,SYSTEM VIEW,3268,max_rows=5133,0,utf8_general_ci,information_schema
Fixed,2023-02-19 16:01:23,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16755036,<blank>,def,<blank>,GLOBAL_VARIABLES,SYSTEM VIEW,3268,max_rows=5133,0,utf8_general_ci,information_schema
Fixed,2023-02-19 16:01:23,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16762755,<blank>,def,<blank>,KEY_COLUMN_USAGE,SYSTEM VIEW,4637,max_rows=3618,0,utf8_general_ci,information_schema
Dynamic,2023-02-19 16:01:23,1024,<blank>,0,<blank>,2023-02-19 16:01:23,10,<blank>,MyISAM,281474976710655,<blank>,def,<blank>,OPTIMIZER_TRACE,SYSTEM VIEW,0,max_rows=578524,0,utf8_general_ci,information_schema
Dynamic,2023-02-19 16:01:23,1024,<blank>,0,<blank>,2023-02-19 16:01:23,10,<blank>,MyISAM,281474976710655,<blank>,def,<blank>,PARAMETERS,SYSTEM VIEW,0,max_rows=6021,0,utf8_general_ci,information_schema
Dynamic,2023-02-19 16:01:23,1024,<blank>,0,<blank>,2023-02-19 16:01:23,10,<blank>,MyISAM,281474976710655,<blank>,def,<blank>,PARTITIONS,SYSTEM VIEW,0,max_rows=5596,0,utf8_general_ci,information_schema
